ack,androidID,appName,atHome,currAct,delayTimeInSeconds,goal_alignment,interventionType,kss,pid,rshci1,rshci2,rshci3,rshci4,rshci5,sam,satisfaction,sense_of_agency,sideActivity,situation,stress,timestamp,useful_in_situation
true,ec4eb3b8988e5dfd,,true,-2,1,2,Vibration,5,62fd14d7b1e0729dc8aadb79,4,4,4,4,3,2,3,5,No,alone,6,Feb 22 01:49:13,3
true,c97dd3a8e09974b1,TikTok,true,-3,3,6,Pop-Up,9,62da5ffdd666bd90db19b4e9,4,3,4,3,4,4,6,3,No,friends,3,Mar 2 00:13:41,6
true,2e132087ecc6d534,TikTok,true,1,53,7,Vibration,5,6744b7a697b6eff3de59a88e,4,4,2,3,4,4,5,4,No,alone,3,Feb 25 10:17:31,7
true,ea4a3cb381a8a56b,TikTok,true,-3,29,1,Vibration,5,5e53e8d0a0002e3ee42be086,5,5,5,5,5,3,1,1,No,friends,2,Mar 24 05:36:56,1
true,c24b8cfdc4eab9a8,YouTube,true,-3,9,2,Vibration,6,5b68c9eb87af310001584803,5,5,5,5,5,4,2,3,No,alone,0,Mar 9 19:38:59,3
true,0a0ee3d496d2cb0a,TikTok,true,-3,62,3,SpotOverlay,7,6283e5cee0833a2307ddeb0f,5,5,5,4,5,4,2,2,No,alone,3,Mar 3 00:50:18,3
true,2958d2d993c52423,TikTok,true,-3,199,3,SpotOverlay,6,5869950b8596530001079aba,4,4,4,4,4,1,3,6,No,friends,7,Mar 9 20:05:00,5
true,bff82403849f47f1,TikTok,true,-3,0,4,Pop-Up,5,672a56a48f56810ca01f305c,4,4,4,4,4,3,3,3,Yes,friends,6,Mar 20 19:11:24,5
true,e2e491f49b6f9798,,true,-3,29,6,Vibration,5,5ad3bfc75b53cb0001f35839,5,5,5,5,4,3,4,4,No,alone,2,Apr 4 12:04:25,1
true,d4bc23e63dbda297,TikTok,true,-3,11,4,Pop-Up,7,6750bac54816fc7028a10a46,5,3,4,2,3,3,4,4,No,alone,0,Mar 28 22:28:48,3
true,cebc7f9bb01deaa2,TikTok,true,-2,0,2,Pop-Up,3,648746670a6ffb0022fdb933,4,4,4,4,4,4,2,6,Yes,alone,2,Apr 1 22:51:09,2
true,0648d1398de2c49c,Facebook,true,0,33,5,SpotOverlay,4,654e37fa26d78df94fd43c1a,4,4,4,5,4,4,4,6,No,alone,4,Mar 20 00:21:32,4
true,4da3f1f4b8abfd40,,true,-3,0,4,Vibration,5,5ff61f4fe313fd16fbeb5af6,4,4,4,4,3,4,2,4,No,alone,0,Mar 16 21:25:18,3
true,b1184b7c3d753479,Facebook,true,2,7,6,Pop-Up,2,5cc020d5159f790017bee28b,4,4,3,2,4,2,6,6,No,alone,7,Mar 23 21:55:45,6
true,c2f417e8f8162990,YouTube,true,-3,7,3,Vibration,7,5ef78f819d93424af2af742b,5,4,4,5,5,4,5,7,No,alone,0,Mar 10 07:01:48,4
