// Di 08.04.2025 15:30
Payment Overview:

Participants Who Completed the Study (sorted by days participated):
========================================================================================================================
Prolific ID               | Total Triggers  | Total Questionnaires | %      | Total Reward (£) | Days Participated | Days Since Start 
665910d96668b5777caab931  | 564             | 13                   | 2.30%  | £6.50            | 9.44 | 29.0
674fd5c48fbde512501db186  | 877             | 22                   | 2.51%  | £11.00           | 9.13 | 25.0
655f8d942652c2e7defdb816  | 813             | 24                   | 2.95%  | £12.00           | 9.02 | 10.0
6763ad169c28727881cabe7f  | 806             | 17                   | 2.11%  | £8.50            | 8.89 | 20.0
6400d8e645e80091a53f9b21  | 2353            | 2                    | 0.08%  | £1.00            | 8.82 | 25.0
665629a30c7e3f40e8f3d1d5  | 1005            | 13                   | 1.29%  | £6.50            | 8.74 | 28.0
62fd14d7b1e0729dc8aadb79  | 363             | 17                   | 4.68%  | £8.50            | 8.73 | 47.0
663a8c84b8e7c046d854c8dd  | 287             | 8                    | 2.79%  | £4.00            | 8.69 | 27.0
66df49caa6df07d77078a5fd  | 743             | 13                   | 1.75%  | £6.50            | 8.66 | 8.0
63b78e4b32852d98febe4116  | 33              | 0                    | 0.00%  | £0.00            | 8.60 | 41.0
67461d8bda44253bd6e2d689  | 301             | 5                    | 1.66%  | £2.50            | 8.47 | 47.0
67df5cb767ae66f6f41019d3  | 121             | 4                    | 3.31%  | £2.00            | 8.42 | 10.0
676ed8014625d5ebd417b5f2  | 10              | 0                    | 0.00%  | £0.00            | 8.27 | 20.0
67768d5e8b0341abb0f7ef1f  | 608             | 8                    | 1.32%  | £4.00            | 8.17 | 44.0
67366fdf3695cee0c68c6339  | 225             | 15                   | 6.67%  | £7.50            | 8.16 | 41.0
661fde173a4e7fbc73fd8367  | 776             | 11                   | 1.42%  | £5.50            | 8.01 | 42.0
673321669f5c5d443040682b  | 1110            | 2                    | 0.18%  | £1.00            | 7.97 | 19.0
5e8cf14c0bec230b335e060d  | 876             | 2                    | 0.23%  | £1.00            | 7.97 | 19.0
6772c5ec9aa61cab9a3cd8c6  | 413             | 23                   | 5.57%  | £11.50           | 7.97 | 10.0
654f89d4924d0d5a050f375d  | 547             | 24                   | 4.39%  | £12.00           | 7.94 | 27.0
66f69dcc061074dacb886b52  | 115             | 12                   | 10.43%  | £6.00            | 7.93 | 41.0
6761691d303e103c60277b9e  | 863             | 0                    | 0.00%  | £0.00            | 7.87 | 20.0
63d7d315ebf6c98c92c2a7a1  | 412             | 24                   | 5.83%  | £12.00           | 7.72 | 7.0
5c328af23f5d210001834f82  | 150             | 2                    | 1.33%  | £1.00            | 7.72 | 7.0
67929fedf3f6f88cbbb925ab  | 26              | 7                    | 26.92%  | £3.50            | 7.72 | 25.0
62df0a2b7302265dcb0b7c58  | 148             | 7                    | 4.73%  | £3.50            | 7.67 | 41.0
56d7623f04c67d000c7b9de6  | 513             | 24                   | 4.68%  | £12.00           | 7.63 | 20.0
648746670a6ffb0022fdb933  | 303             | 23                   | 7.59%  | £11.50           | 7.56 | 10.0
65456ebc819cdd5600552571  | 345             | 0                    | 0.00%  | £0.00            | 7.50 | 29.0
6674289815bec3913b84eed5  | 272             | 7                    | 2.57%  | £3.50            | 7.46 | 47.0
679a0366c8793f4845badfd6# | 552             | 8                    | 1.45%  | £4.00            | 7.30 | 38.0
661db80bbbbc4861da7f75dd  | 144             | 6                    | 4.17%  | £3.00            | 7.29 | 9.0
55cff4a834e9060012e57407  | 1535            | 10                   | 0.65%  | £5.00            | 7.28 | 26.0
676998e4f6daae6e1a643595# | 170             | 6                    | 3.53%  | £3.00            | 7.24 | 37.0
6659e2efdb732dbd7f707a98  | 427             | 6                    | 1.41%  | £3.00            | 7.23 | 39.0
63d14fff9cb486c39dfbd8ce# | 128             | 0                    | 0.00%  | £0.00            | 7.22 | 10.0
6785c695a07c912f4f5a105d# | 51              | 1                    | 1.96%  | £0.50            | 7.14 | 42.0
5588b2bffdf99b7a7714efd1  | 110             | 1                    | 0.91%  | £0.50            | 7.14 | 7.0
668845380fafa800ff4b3805  | 1185            | 0                    | 0.00%  | £0.00            | 7.09 | 8.0
674a488fe640fba145d7171b# | 105             | 0                    | 0.00%  | £0.00            | 7.08 | 20.0
5ef39c45c154ff120c5e84b8# | 131             | 26                   | 19.85%  | £13.00           | 7.06 | 29.0
6709d766da2307f9438df9ee# | 582             | 12                   | 2.06%  | £6.00            | 7.04 | 37.0
59d3b07947f4e80001a6c551# | 458             | 0                    | 0.00%  | £0.00            | 7.03 | 29.0
60c029faa1d9b671a584f3ca# | 68              | 15                   | 22.06%  | £7.50            | 7.02 | 19.0
66293ce3dba0764775195e58# | 336             | 5                    | 1.49%  | £2.50            | 7.01 | 26.0
678ce1ebd56c85701ebce209# | 750             | 9                    | 1.20%  | £4.50            | 7.01 | 20.0
6658b1babc17230af657c303# | 331             | 6                    | 1.81%  | £3.00            | 7.01 | 29.0
6654ec982cb90af6e8bc7219# | 674             | 14                   | 2.08%  | £7.00            | 7.00 | 8.0
5edeea354d54cb1a825aa8f9# | 448             | 31                   | 6.92%  | £15.50           | 7.00 | 47.0
6283e5cee0833a2307ddeb0f# | 487             | 7                    | 1.44%  | £3.50            | 6.99 | 42.0
6762aff824e4f12278e6d3fd# | 282             | 2                    | 0.71%  | £1.00            | 6.99 | 27.0
6034cf3c1dac215c6fe31624# | 195             | 2                    | 1.03%  | £1.00            | 6.99 | 20.0
672ba4b271f34057eb25f408# | 128             | 7                    | 5.47%  | £3.50            | 6.96 | 43.0
6778196d593a47bb67125931# | 825             | 1                    | 0.12%  | £0.50            | 6.94 | 20.0
6720fbc84253185973cbe564# | 20              | 0                    | 0.00%  | £0.00            | 6.94 | 42.0
6736aaf79268c6121b012a63# | 310             | 14                   | 4.52%  | £7.00            | 6.93 | 41.0
660b46f30e0078173c658320# | 197             | 20                   | 10.15%  | £10.00           | 6.93 | 26.0
67646659b6ab85cd552decf1# | 229             | 23                   | 10.04%  | £11.50           | 6.89 | 39.0
66774233add67a4a8e71398e# | 92              | 1                    | 1.09%  | £0.50            | 6.89 | 11.0
63d1957ba19644f6c749c001# | 176             | 10                   | 5.68%  | £5.00            | 6.88 | 25.0
672a56a48f56810ca01f305c# | 109             | 7                    | 6.42%  | £3.50            | 6.68 | 19.0
643918b7df602a9f3f3f66d7# | 260             | 3                    | 1.15%  | £1.50            | 6.64 | 47.0
5a1d8489ab721b0001ef95cc# | 113             | 4                    | 3.54%  | £2.00            | 6.60 | 29.0
5e53e8d0a0002e3ee42be086# | 176             | 21                   | 11.93%  | £10.50           | 6.40 | 20.0
67007d655b10fbe2d93c3508# | 26              | 2                    | 7.69%  | £1.00            | 6.36 | 8.0
5ee637a18976fc391312fe01# | 24              | 0                    | 0.00%  | £0.00            | 6.00 | 38.0
5928df79366dc80001d0b788# | 27              | 1                    | 3.70%  | £0.50            | 5.62 | 42.0
6659f77ee4fd69fa455cc86a# | 130             | 1                    | 0.77%  | £0.50            | 5.54 | 8.0
62fc25ef4ce0d3d169b7a120  | 629             | 8                    | 1.27%  | £4.00            | 42.93 | N/A
6658b97a550b0dbb23385b16  | 2255            | 3                    | 0.13%  | £1.50            | 42.23 | 42.0
676937f22f44a9f6c9a8294c  | 973             | 4                    | 0.41%  | £2.00            | 42.19 | 42.0
5dbefec9f8e3f93a249ed94a  | 2234            | 3                    | 0.13%  | £1.50            | 42.14 | 42.0
65bfb574e58552a0a8fc639d  | 634             | 28                   | 4.42%  | £14.00           | 38.98 | 39.0
58cd0bc2a47dbb000171dc8b  | 34              | 0                    | 0.00%  | £0.00            | 38.50 | 47.0
5e53b07f83c96c3ad4f34751  | 105             | 2                    | 1.90%  | £1.00            | 35.52 | 39.0
5f8cbc5c355ea745e6cef2ca  | 14              | 0                    | 0.00%  | £0.00            | 35.50 | 47.0
66be3ed60ce8896e4feb1003  | 4567            | 2                    | 0.04%  | £1.00            | 35.32 | 41.0
66c5fd9cd88ff2690f682cec  | 464             | 25                   | 5.39%  | £12.50           | 35.05 | 41.0
6161b1aa789db957a50abd58  | 347             | 0                    | 0.00%  | £0.00            | 33.79 | 39.0
6769d1a3cb1517e444d1e3bf  | 166             | 0                    | 0.00%  | £0.00            | 32.13 | 43.0
661f7e6d188e3d7530659024# | 215             | 0                    | 0.00%  | £0.00            | 3.20 | 26.0
6703370d69c922c9c282ef5c  | 6151            | 1                    | 0.02%  | £0.50            | 29.66 | 29.0
6746a9ccaebffc616adf8386  | 1278            | 4                    | 0.31%  | £2.00            | 29.59 | 29.0
6151e69a392433707e7a9dfb  | 2950            | 21                   | 0.71%  | £10.50           | 29.21 | 29.0
55a8c7affdf99b33d8aff983  | 650             | 6                    | 0.92%  | £3.00            | 29.20 | 30.0
67055b370e3c0c4965a03128  | 520             | 2                    | 0.38%  | £1.00            | 28.83 | 29.0
673e1365dd4456c908190114  | 1228            | 10                   | 0.81%  | £5.00            | 28.75 | 39.0
5fc3d41149c0c8728f07b95b  | 1363            | 18                   | 1.32%  | £9.00            | 27.67 | 27.0
6658d06ebb57e6360147fbd6  | 201             | 2                    | 1.00%  | £1.00            | 27.07 | 29.0
678b8b6f4d1425ef3b30bd32  | 476             | 8                    | 1.68%  | £4.00            | 26.97 | 27.0
66ce36b5ec965c47b1884230  | 1290            | 29                   | 2.25%  | £14.50           | 26.55 | 26.0
664521e03117b782ed4fff45  | 156             | 3                    | 1.92%  | £1.50            | 26.54 | 26.0
5a6d5ae19d65ec00017e9bae  | 1110            | 23                   | 2.07%  | £11.50           | 25.83 | 26.0
67a3c5e78c483a6d93114bb5  | 1930            | 82                   | 4.25%  | £41.00           | 25.53 | 25.0
665a081994dc662744486887  | 362             | 7                    | 1.93%  | £3.50            | 25.05 | 25.0
5d5407dc922257000153657f  | 682             | 6                    | 0.88%  | £3.00            | 25.04 | N/A
671bdd06525adeea062a1d73  | 73              | 0                    | 0.00%  | £0.00            | 24.59 | 25.0
67b01f249acb8dfd481591e2# | 173             | 8                    | 4.62%  | £4.00            | 23.98 | 26.0
6761944486ce83768479f637  | 616             | 3                    | 0.49%  | £1.50            | 23.20 | 26.0
6760eb1bd8f2c26a870800b6  | 104             | 12                   | 11.54%  | £6.00            | 22.96 | 26.0
673bd765ee70ef05996bfede  | 207             | 4                    | 1.93%  | £2.00            | 21.75 | 43.0
615e09c58c95a6551d1fa614  | 699             | 0                    | 0.00%  | £0.00            | 21.64 | 39.0
56c893c9dfea6c000db24a52  | 999             | 0                    | 0.00%  | £0.00            | 21.16 | 27.0
5b21f6f6648d5b0001b7c648  | 129             | 0                    | 0.00%  | £0.00            | 20.55 | 20.0
60e2f29d1b210b7492202572# | 30              | 1                    | 3.33%  | £0.50            | 2.88 | 43.0
63d190d52bb71e0e81d868f2# | 6               | 0                    | 0.00%  | £0.00            | 2.09 | 43.0
6750bac54816fc7028a10a46  | 1408            | 18                   | 1.28%  | £9.00            | 19.90 | 20.0
56896501d3d6a7000ca23da8  | 70              | 1                    | 1.43%  | £0.50            | 19.89 | 47.0
5b68c9eb87af310001584803  | 78              | 17                   | 21.79%  | £8.50            | 19.75 | 38.0
66de746bcfef35f46e85ed0f  | 469             | 3                    | 0.64%  | £1.50            | 19.00 | 19.0
5fe18e1c8929f0c2a41e43d8  | 698             | 10                   | 1.43%  | £5.00            | 18.84 | 20.0
67617e1e4f544c35e920d809  | 63              | 5                    | 7.94%  | £2.50            | 18.15 | 20.0
5e27fa29d91131a0838c9571  | 1040            | 10                   | 0.96%  | £5.00            | 17.83 | 26.0
660ff598a3391e9b7d8feab4  | 958             | 8                    | 0.84%  | £4.00            | 17.71 | 19.0
62d159b0e1b591ec1e8e27c8  | 1559            | 13                   | 0.83%  | £6.50            | 17.50 | 39.0
654e37fa26d78df94fd43c1a  | 236             | 4                    | 1.69%  | £2.00            | 17.46 | 20.0
60c8467d9872c0d83f695499  | 1151            | 2                    | 0.17%  | £1.00            | 17.15 | 27.0
5ef78f819d93424af2af742b  | 2150            | 10                   | 0.47%  | £5.00            | 16.82 | 39.0
5cc020d5159f790017bee28b  | 335             | 14                   | 4.18%  | £7.00            | 16.31 | 16.0
5869950b8596530001079aba  | 76              | 10                   | 13.16%  | £5.00            | 16.10 | 37.0
67768cb5c78ca6942d258211  | 87              | 7                    | 8.05%  | £3.50            | 15.73 | 42.0
59900f959d487e0001ac3a8e  | 1161            | 5                    | 0.43%  | £2.50            | 15.52 | 18.0
659abd5f91e97f5662906c3f  | 45              | 0                    | 0.00%  | £0.00            | 14.69 | 34.0
676749381fe84453ec46e9b8  | 59              | 9                    | 15.25%  | £4.50            | 14.31 | 26.0
672148f928fcaa56a3b26dac  | 368             | 0                    | 0.00%  | £0.00            | 14.24 | 25.0
5f3cdb1b1d75be5ac4ba7963  | 26              | 0                    | 0.00%  | £0.00            | 13.85 | 16.0
627e79a6e1f2b10601861ca6  | 4071            | 5                    | 0.12%  | £2.50            | 13.60 | 47.0
5ec45929c1172f33f0a9d331  | 1404            | 5                    | 0.36%  | £2.50            | 12.62 | 19.0
6229f1c215b1b83f71da3b71  | 217             | 0                    | 0.00%  | £0.00            | 12.48 | 26.0
5e94b43203807b339eef4947  | 420             | 0                    | 0.00%  | £0.00            | 11.91 | 29.0
62da5ffdd666bd90db19b4e9  | 528             | 15                   | 2.84%  | £7.50            | 11.90 | 44.0
5ff61f4fe313fd16fbeb5af6  | 829             | 6                    | 0.72%  | £3.00            | 11.71 | 27.0
5c0522c69cfe460001799999  | 890             | 1                    | 0.11%  | £0.50            | 11.67 | 20.0
5ad3bfc75b53cb0001f35839  | 385             | 25                   | 6.49%  | £12.50           | 11.66 | 11.0
66d1a7a177452f9dc664c908  | 458             | 7                    | 1.53%  | £3.50            | 11.61 | 47.0
664f402dab9a2b0829103e37  | 221             | 0                    | 0.00%  | £0.00            | 11.49 | 11.0
Luca-Maxim Meinhardt      | 446             | 16                   | 3.59%  | £8.00            | 11.32 | 11.0
60643e9b1b2e851ff9238862  | 22              | 0                    | 0.00%  | £0.00            | 11.22 | 19.0
6723b24542d9de1e1f65b9e4  | 361             | 1                    | 0.28%  | £0.50            | 11.14 | 25.0
6659f68e2b387f043c276d92# | 565             | 4                    | 0.71%  | £2.00            | 10.94 | 27.0
6416533bd4ee6639c3df6040  | 787             | 9                    | 1.14%  | £4.50            | 10.72 | 29.0
586400dfec49b5000158fbea  | 261             | 2                    | 0.77%  | £1.00            | 10.55 | 47.0
652ebf9490189b8b57f1ce35  | 147             | 9                    | 6.12%  | £4.50            | 10.53 | 42.0
5dc983b9902a986ae3ac3edc  | 154             | 0                    | 0.00%  | £0.00            | 10.21 | 43.0
66eddcfe67e927db6f0a4768# | 62              | 5                    | 8.06%  | £2.50            | 1.70 | 41.0
5978e2db30b1d90001f5daa5# | 88              | 0                    | 0.00%  | £0.00            | 1.49 | 42.0
632b947efa9da6a9bde31f94# | 12              | 1                    | 8.33%  | £0.50            | 1.07 | 41.0
5c9d05e72b3c77001744e8d2# | 16              | 0                    | 0.00%  | £0.00            | 0.63 | 43.0
67d1812e25158f41a334bede# | 26              | 0                    | 0.00%  | £0.00            | 0.36 | 19.0
6396044f6ae489bb820c67a5# | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 42.0
6659e42c49aec7ddd44444fa# | 0               | 0                    | 0.00%  | £0.00            | 0.00* | 47.0

Total Costs for Completed Participants: £596.50
Total Participants Who Completed: 152

Participants Who Did Not Complete the Study:
========================================================================================================================
test                      | 10              | 0                    | 0.00%  | £0.00            | 6.94 | 25.0
67658ce91a0ea2195ae7e09d  | 223             | 1                    | 0.45%  | £0.50            | 6.69 | 20.0
5a2ef9bbfd28e9000102ee68  | 286             | 1                    | 0.35%  | £0.50            | 6.59 | 38.0
5fd2a27758c6df09223dd4b3  | 457             | 16                   | 3.50%  | £8.00            | 6.49 | 41.0
676071994f8552a8e0398a21  | 672             | 9                    | 1.34%  | £4.50            | 6.31 | 37.0
5e388c2b5d3ba8069613476e  | 17              | 0                    | 0.00%  | £0.00            | 6.28 | 47.0
62d6d87d91cf24a3c1c0f10c  | 86              | 1                    | 1.16%  | £0.50            | 6.26 | 42.0
5bcda2ee6fd72000014996e4  | 146             | 1                    | 0.68%  | £0.50            | 6.12 | 20.0
60c1027492de3b44ad9cb833  | 606             | 2                    | 0.33%  | £1.00            | 6.08 | 10.0
65ec84d7abc1df34e678abe1  | 275             | 3                    | 1.09%  | £1.50            | 6.05 | 41.0
