"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","pid","Impulsivity[Imp1]","Impulsivity[Imp2]","Impulsivity[Imp3]","Impulsivity[Imp4]","Impulsivity[Imp5]","Impulsivity[Imp6]","Impulsivity[Imp7]","Impulsivity[Imp8]","Impulsivity[Imp9]","Impulsivity[Imp10]","Impulsivity[Imp11]","Impulsivity[Imp12]","Impulsivity[Imp13]","Impulsivity[Imp14]","Impulsivity[Imp15]","Anxiety[Anx1]","Anxiety[Anx2]","Anxiety[Anx3]","Anxiety[Anx4]","Anxiety[Anx5]","SelfControl[SC1]","SelfControl[SC2]","SelfControl[SC3]","SelfControl[SC4]","SelfControl[SC5]","SelfControl[SC6]","SelfControl[SCATC]","SelfControl[SC7]","SelfControl[SC8]","SelfControl[SC9]","SelfControl[SC10]","SelfControl[SC11]","SelfControl[SC12]","SelfControl[SC13]","FOMO[Fomo1]","FOMO[Fomo2]","FOMO[Fomo3]","FOMO[Fomo4]","FOMO[Fomo5]","thx","ifyes","OtherIntervention","anleitungandroid","whyNotIntereseted","whyNotInstalled","ifno"
"1","2025-02-15 20:41:47","3","en","1617895802","2025-02-15 20:40:10","2025-02-15 20:41:47","test","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","3 (often)","3 (often)","3 (often)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","2","3","Yes","Yes","No","Yes",,,""
"2","2025-02-15 21:19:02","3","en","526028089","2025-02-15 21:05:34","2025-02-15 21:19:02","66d8b1917c364ec10c95a0c6","2 (occasionally)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","1 (rarely/never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","4","3","3","2","2","4","5 (very much)","4","3","2","3","2","2","2","2","2","2","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
"4","2025-02-15 21:31:47","3","en","870477625","2025-02-15 21:12:59","2025-02-15 21:31:47","66a26d94a9322ee804a07d64","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","4 (almost always)","4 (almost always)","3 (often)","3 (often)","3 (often)","4 (almost always)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","3 (almost always)","2 (often)","3 (almost always)","3","4","5 (very much)","2","3","3","5 (very much)","5 (very much)","3","4","4","3","3","3","3","4","4","1 (totally disagree)","4","Yes","Yes","No","No",,"Phone doesn't allow me to change those permissions",""
"5","2025-02-15 21:31:15","3","en","944812255","2025-02-15 21:13:31","2025-02-15 21:31:15","643918b7df602a9f3f3f66d7","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","1 (rarely/never)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","0 (almost never)","1 (sometimes)","1 (sometimes)","0 (almost never)","1 (sometimes)","3","2","1 (not at all)","2","2","2","5 (very much)","2","3","3","3","3","2","2","4","4","3","2","2","Yes","Yes","No","Yes",,,""
"6","2025-02-15 21:18:47","3","en","1248494523","2025-02-15 21:14:53","2025-02-15 21:18:47","6758b47ae8a14eca06d4d5df","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","4 (almost always)","2 (occasionally)","1 (rarely/never)","4 (almost always)","1 (rarely/never)","3 (often)","0 (almost never)","1 (sometimes)","1 (sometimes)","1 (sometimes)","1 (sometimes)","4","4","3","2","2","4","5 (very much)","3","3","2","1 (not at all)","5 (very much)","2","2","4","4","3","1 (totally disagree)","2","Yes","Yes","No","No",,"Chrome says it's an unsafe app and don't download ",""
"7","2025-02-15 21:25:51","3","en","149635885","2025-02-15 21:17:34","2025-02-15 21:25:51","67214d863e7453807d90bdb7","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","3 (often)","3 (often)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","1 (rarely/never)","2 (occasionally)","1 (rarely/never)","2 (often)","2 (often)","1 (sometimes)","2 (often)","1 (sometimes)","2","3","4","2","3","2","5 (very much)","5 (very much)","3","3","4","3","2","2","4","4","3","2","3","Yes","Yes","No","Yes",,,""
"8","2025-02-15 21:25:18","3","en","22835685","2025-02-15 21:18:03","2025-02-15 21:25:18","5d618a9955fc54000164673f","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","3 (often)","4 (almost always)","2 (occasionally)","2 (occasionally)","3 (often)","1 (rarely/never)","1 (rarely/never)","2 (often)","0 (almost never)","0 (almost never)","1 (sometimes)","1 (sometimes)","3","3","1 (not at all)","1 (not at all)","2","3","5 (very much)","3","2","3","1 (not at all)","3","2","2","4","4","2","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
"9","2025-02-15 21:30:13","3","en","467644814","2025-02-15 21:19:09","2025-02-15 21:30:13","6638da83dc28920d90c91c6e","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","1 (rarely/never)","1 (rarely/never)","3 (often)","3 (often)","2 (occasionally)","1 (rarely/never)","2 (occasionally)","2 (occasionally)","2 (occasionally)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","0 (almost never)","2","3","2","2","2","2","5 (very much)","4","2","2","3","3","2","2","2","2","2","2","3","Yes","Yes","No","Yes",,,""
"10","2025-02-15 21:36:50","3","en","212848359","2025-02-15 21:22:47","2025-02-15 21:36:50","5fdcf332c64c9631bc12158e","4 (almost always)","3 (often)","3 (often)","4 (almost always)","4 (almost always)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","1 (sometimes)","1 (sometimes)","1 (sometimes)","2 (often)","1 (sometimes)","1 (not at all)","4","4","3","4","2","5 (very much)","5 (very much)","1 (not at all)","4","4","3","4","4","3","3","3","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
"12","2025-02-15 21:40:39","3","en","2009458063","2025-02-15 21:26:56","2025-02-15 21:40:39","6714ff7e60b0804aa6c10ff9","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (occasionally)","3 (often)","3 (often)","3 (often)","2 (occasionally)","2 (occasionally)","2 (occasionally)","2 (often)","2 (often)","2 (often)","2 (often)","2 (often)","3","3","3","2","2","2","5 (very much)","3","1 (not at all)","2","2","3","2","1 (not at all)","2","4","1 (totally disagree)","1 (totally disagree)","3","Yes","Yes","No","Yes",,,""
