Ack,Android_ID,App_Name,At_Home,Current_Activity,Latency,Goal_Alignment,Intervention_Type,Sleepiness,Prolific_ID,Rshci 1,Rshci 2,Rshci 3,Rshci 4,Rshci 5,Valence,Satisfaction,Agency,Multitasking,Social_Situation,Stress,Timestamp,Usefulness,Gender,Age,Impulsivity[Imp1],Impulsivity[Imp2],Impulsivity[Imp3],Impulsivity[Imp4],Impulsivity[Imp5],Impulsivity[Imp6],Impulsivity[Imp7],Impulsivity[Imp8],Impulsivity[Imp9],Impulsivity[Imp10],Impulsivity[Imp11],Impulsivity[Imp12],Impulsivity[Imp13],Impulsivity[Imp14],Impulsivity[Imp15],Anxiety[Anx1],Anxiety[Anx2],Anxiety[Anx3],Anxiety[Anx4],Anxiety[Anx5],SelfControl[SC1],SelfControl[SC2],SelfControl[SC3],SelfControl[SC4],SelfControl[SC5],SelfControl[SC6],SelfControl[SCATC],SelfControl[SC7],SelfControl[SC8],SelfControl[SC9],SelfControl[SC10],SelfControl[SC11],SelfControl[SC12],SelfControl[SC13],FOMO[Fomo1],FOMO[Fomo2],FOMO[Fomo3],FOMO[Fomo4],FOMO[Fomo5]
True,daa35f2d06f20b56,,True,-3,5,4,Pop-Up,5,5478e52cfdf99b5322cf7f7b,5,4,4,4,4,2,2,6,Yes,friends,5,Mar 10 17:55:32,4,Male,33.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0
True,daa35f2d06f20b56,YouTube,True,-3,5,4,Pop-Up,7,5478e52cfdf99b5322cf7f7b,4,3,2,3,3,3,5,5,No,friends,1,Mar 9 22:25:41,6,Male,33.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0
True,cc4e5a9523e53e8d,,True,0,1,2,Pop-Up,9,5588b2bffdf99b7a7714efd1,4,4,4,3,3,2,3,3,No,alone,6,Apr 7 04:40:08,1,Female,37.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0
True,cca705307fb0ee4e,Instagram,True,-2,73,5,Vibration,5,55a8c7affdf99b33d8aff983,3,3,3,3,3,3,5,5,Yes,friends,2,Mar 29 20:04:14,5,Male,26.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
True,cca705307fb0ee4e,YouTube,True,-2,1,3,Vibration,7,55a8c7affdf99b33d8aff983,3,3,3,3,3,3,3,4,Yes,friends,2,Apr 7 19:41:12,3,Male,26.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
True,cca705307fb0ee4e,YouTube,True,0,45,4,Vibration,6,55a8c7affdf99b33d8aff983,3,2,2,2,2,3,4,2,Yes,friends,4,Mar 14 17:52:05,4,Male,26.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
True,cca705307fb0ee4e,Instagram,True,-3,71,5,Vibration,7,55a8c7affdf99b33d8aff983,3,3,3,3,3,3,5,5,No,alone,4,Mar 30 16:26:21,5,Male,26.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
True,cca705307fb0ee4e,YouTube,True,-2,32,5,Vibration,6,55a8c7affdf99b33d8aff983,4,4,4,4,4,2,3,2,No,friends,3,Mar 14 11:43:57,5,Male,26.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
True,cca705307fb0ee4e,YouTube,True,-3,10,5,Pop-Up,6,55a8c7affdf99b33d8aff983,3,3,2,2,4,2,5,4,No,alone,7,Mar 13 10:02:17,5,Male,26.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0
True,997e5f613e9cc6b4,,True,3,0,1,Pop-Up,7,55cff4a834e9060012e57407,5,5,5,2,5,1,1,1,Yes,friends,9,Mar 16 10:37:24,1,Female,28.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
